Title,channel_title,published_at,view_count,like_count,comment_count,definition,duration_seconds
AI vs ML vs DL vs DS: What's the Difference?,GeeksforGeeks,2025-01-25 03:30:15+00:00,1335691,55591,146,hd,62
Software Engineer Vs Data Science in 2025 👀 @meglovesdata,Sajjaad Khader,2025-05-12 14:44:00+00:00,1769525,27075,493,hd,32
HTML Tutorial for Beginners | Complete HTML with Notes & Code,Apna College,2022-03-22 15:30:08+00:00,26688082,494207,24551,hd,7560
How to Make a Website in 10 mins - 2025 Simple & Easy,Website Learners,2018-01-03 15:32:33+00:00,19583119,396640,16522,hd,742
HTML & CSS Full Course - Beginner to Pro,SuperSimpleDev,2022-02-05 16:41:52+00:00,17223417,313182,16949,hd,23484
"CSS Tutorial for Beginners | Complete CSS with Project, Notes & Code",Apna College,2023-06-04 16:32:22+00:00,15010531,177335,12936,hd,26304
JavaScript Course for Beginners – Your First Step to Web Development,Programming with Mosh,2018-04-24 02:37:33+00:00,14584557,249667,7611,hd,2897
HTML Tutorial For Beginners In Hindi (With Notes) 🔥,CodeWithHarry,2021-03-17 02:55:23+00:00,14441676,348594,29772,hd,11472
HTML Tutorial for Beginners: HTML Crash Course,Programming with Mosh,2021-01-11 14:30:10+00:00,10401400,228665,6170,hd,4174
"Introduction to HTML, CSS, JavaScript & How websites work? | Web Development Tutorials #1",CodeWithHarry,2019-12-25 08:12:47+00:00,8585440,217065,17155,hd,1107
"How I Learned to Code in 4 Months & Got a Job! (No CS Degree, No Bootcamp)",Tim Kim,2023-06-13 18:52:08+00:00,8353887,406991,8924,hd,591
Introduction to Web Development | World's most premium Web Development Course | Lecture 0 (Reupload),Apna College,2020-12-12 13:59:05+00:00,7247716,183565,6493,hd,668
JavaScript Tutorial Full Course - Beginner to Pro,SuperSimpleDev,2024-05-09 07:28:14+00:00,7193467,144353,8418,hd,80157
How To Make Website Using HTML & CSS | Full Responsive Multi Page Website Design Step by Step,GreatStack,2021-03-15 14:00:12+00:00,7088755,148681,5017,hd,4319
Installing VS Code & How Websites Work | Sigma Web Development Course - Tutorial #1,CodeWithHarry,2023-09-26 14:39:53+00:00,6385911,157559,38775,hd,1880
Web Development Full Course - 10 Hours | Web Development Course Roadmap 2024 | Edureka,edureka!,2019-07-28 08:30:00+00:00,6077042,123783,873,hd,37222
"JavaScript Tutorial (2024) for Beginners to Pro (with Notes, Projects & Practice Questions)",Apna College,2023-12-21 14:39:41+00:00,5617709,69149,3693,hd,42434
How To Create A Website using HTML & CSS | Step-by-Step Tutorial,PROROZ,2021-05-16 12:06:59+00:00,5568555,86786,3148,hd,1639
The Website 💀 #designer #developer #web #shorts,NEXOS CREATOR,2025-06-14 11:13:11+00:00,14690733,187283,1135,hd,10
Power of CSS 😍 #csstutorial #codinglover #coder #codingshortvideo #viral #trading,Code with Patel,2024-06-17 04:30:19+00:00,6002238,283396,2207,hd,14
Free open source UI elements for any project #productivity #webdevelopment #webdesign #uidesign,SetupsAI,2024-12-01 10:52:28+00:00,5367300,229221,519,hd,15
HTML & CSS Full Course for free 🌎,Bro Code,2023-05-31 14:00:57+00:00,4739137,117684,3920,hd,14563
the untold history of web development,Fireship,2023-12-20 23:50:43+00:00,4985330,285142,3966,hd,54
Web Developer's Life be Like!,Copper Digital,2022-11-22 12:28:42+00:00,5143180,88139,776,hd,9
HTML Tutorial: Installing VS Code & Live Server | Web Development Tutorials #2,CodeWithHarry,2019-12-25 14:30:02+00:00,4497660,122886,4231,hd,1070
HTML Tutorial - How to Make a Super Simple Website,freeCodeCamp.org,2018-04-25 16:57:22+00:00,4067688,84097,2444,hd,2004
Learn HTML – Full Tutorial for Beginners,freeCodeCamp.org,2022-03-08 16:34:38+00:00,3975980,71697,2399,hd,14850
How to Start Web Development? Complete Roadmap for FullStack Developer | 2022,Apna College,2022-04-16 15:16:43+00:00,3938455,172533,4196,hd,941
5 Websites for Freelancing,Apna College,2022-11-08 13:22:50+00:00,4131945,323026,531,hd,31
Web Design for Beginners | FREE COURSE,Envato Tuts+,2022-04-13 15:00:14+00:00,3905223,111386,1648,hd,19124
Belajar Membuat WEBSITE Dari 0 Sampai Di PUBLISH Untuk Pemula,Dea Afrizal,2022-07-15 01:26:15+00:00,3844534,109166,4936,hd,6935
Learn Web Design For Beginners - Full Course,Flux Academy,2024-02-02 12:00:44+00:00,3801506,79205,1850,hd,11251
Created Reptile | HTML | CSS | Javascript #youtubeshorts #trending #coding #animation #ai #learning,Shivin tutorial,2024-08-19 02:52:59+00:00,4083328,159126,1667,hd,15
What a typical day of a programmer can look like 💻 #coder #softwareengineer,Khris Sheer,2022-11-10 00:47:29+00:00,4043430,88785,1257,hd,10
"Frontend Web Development Bootcamp Course (JavaScript, HTML, CSS)",freeCodeCamp.org,2022-08-24 13:07:36+00:00,3461568,98513,2028,hd,76482
"Full Stack ""Web Development"" Full Course - in 28 Hours | Learn Web Developer in 2025 with Projects",WsCube Tech,2023-01-01 13:30:04+00:00,3306774,88856,1775,hd,101808
Learn HTML in 1 hour 🌎,Bro Code,2021-09-01 14:02:11+00:00,3230896,127708,4154,hd,3600
Django Tutorial for Beginners – Build Powerful Backends,Programming with Mosh,2021-06-28 14:00:31+00:00,3224478,53881,2252,hd,3756
Building AMAZON Clone for Beginners | Project using HTML & CSS,Apna College,2023-06-21 17:15:09+00:00,3220239,58024,2160,hd,6076
Roadmap to Web Development | for Students,Apna College,2023-10-17 14:20:06+00:00,3496105,251348,620,hd,59
Learn web development as an absolute beginner,Coder Coder,2019-11-24 22:38:49+00:00,3132228,159848,3873,hd,777
How virus is created #webdevelopment #frontend #html #css #javascript #coding #javascripttricks,Yashu Developer,2025-03-05 14:16:41+00:00,5033334,0,1907,hd,42
Squares | HTML CSS,Learning Axis,2023-03-24 02:48:08+00:00,3206600,155055,970,hd,60
Figma tutorial for Beginners: Complete Website from Start to Finish,Flux Academy,2022-05-20 18:00:05+00:00,2961361,62725,1363,hd,2601
Mastering HTML Basics and Beyond | Your Ultimate Guide to Begin Web Development 💻 in Tamil | EMC,Error Makes Clever,2023-08-08 12:36:00+00:00,2947915,66838,2969,hd,5978
"Full Stack Web Development for Beginners (Full Course on HTML, CSS, JavaScript, Node.js, MongoDB)",freeCodeCamp.org,2022-11-01 16:39:15+00:00,2940155,67114,1405,hd,26952
How to OVER Engineer a Website // What is a Tech Stack?,Fireship,2021-09-24 14:41:18+00:00,2866314,119805,3046,hd,680
How to become a UI UX Designer?,Apna College,2023-05-11 15:31:17+00:00,2934852,202027,565,hd,57
Benefits of being developer #webdevelopment #frontend #html #javascript #coding #javascripttricks,Yashu Developer,2025-02-13 13:53:04+00:00,4449781,170742,962,hd,21
Full Course Web Development [22 Hours] | Learn Full Stack Web Development From Scratch,Mehul - Codedamn,2022-04-26 05:00:18+00:00,2587161,87862,1030,hd,78515
Python Backend Web Development Course (with Django),freeCodeCamp.org,2021-07-01 16:51:03+00:00,2585150,57094,1185,hd,36712
Robot Vs Human Bake Off #shorts #artificialintelligence #cake #chocolate #chatgpt,Patrick Zeinali,2022-12-12 17:06:29+00:00,98730965,3596119,11101,hd,59
ARE THEY ROBOTS OR REAL PEOPLE!!😳🤖 #shorts #ai #robot #scary #artificialintelligence,Katie Feeney,2023-09-12 17:15:19+00:00,46409061,1784909,37090,hd,9
Future of AI: Robots Giving Birth in Hospitals? 🏥👶 #robots #robot,Future Ai Robots,2025-03-19 11:01:40+00:00,55810726,176252,1049,hd,8
What if Rocks had Artificial Intelligence? + more videos | #aumsum #kids #children #cartoon #whatif,AumSum's Science,2024-07-05 11:30:08+00:00,16861575,7681,0,hd,618
"Robots Harvesting Rice Artificial Intelligence Robots can also work to harvest rice, which is grea",Robot Work 4.0,2024-10-22 00:23:55+00:00,16557591,195928,701,hd,12
The Truth about Artificial Intelligence and ChatGPT | Dhruv Rathee,Dhruv Rathee,2023-07-16 15:05:29+00:00,13034740,524968,31504,hd,1357
"Meet Chloe, the World's First Self-Learning Female AI Robot",AI Insider SHORTZ,2023-08-01 12:00:48+00:00,12056983,334725,27813,hd,31
2025 Humanoid Robot Exhibition Beyond Imagination #IRC #aiart,미유 (MIUU AI) 룩북 SPORTS LOOKBOOK AIルックブック,2025-06-08 13:02:22+00:00,26966112,168947,1321,hd,13
Artificial Intelligence: Last Week Tonight with John Oliver (HBO),LastWeekTonight,2023-02-27 07:30:08+00:00,11451321,204253,11346,hd,1673
Godfather of AI: They Keep Silencing Me But I’m Trying to Warn Them!,The Diary Of A CEO,2025-06-16 07:00:44+00:00,11360377,251223,28723,hd,5408
A.I. ‐ Humanity's Final Invention?,Kurzgesagt – In a Nutshell,2024-08-06 14:00:09+00:00,11108848,306156,21118,hd,1003
The AI Safety Expert: These Are The Only 5 Jobs That Will Remain In 2030! - Dr. Roman Yampolskiy,The Diary Of A CEO,2025-09-04 07:00:34+00:00,10040019,218333,41609,hd,5258
How much does an AI ENGINEER make?,Broke Brothers,2023-05-20 11:30:11+00:00,9936719,308144,2420,hd,36
Buy an AI Humanoid Robot to Take Care of Your Baby #robot #ai #shorts,AI Robot Lab,2025-05-16 07:45:12+00:00,18874582,98577,613,hd,26
AI ने कही परेशान करने वाली चीज़ें 😨 DISTURBING THINGS SAID BY A.I. 🤯 #factsdastan #shorts,Facts Dastan,2023-01-03 14:29:58+00:00,9493369,979425,1407,hd,60
Ai Made In China,Plan3,2024-02-09 17:00:42+00:00,9714997,698879,3434,hd,39
Artificial Intelligence | 60 Minutes Full Episodes,60 Minutes,2023-12-30 13:00:02+00:00,9118589,95272,8037,hd,3210
It Begins: An AI Literally Attempted Murder To Avoid Shutdown,Species | Documenting AGI,2025-10-01 17:58:17+00:00,8941707,378276,36040,hd,835
AI Wisdom vs Human Wisdom: Sophia Robot’s Surprising Answer!,AITube,2024-04-01 16:30:52+00:00,9089745,262444,10216,hd,37
AI Slop Is Destroying The Internet,Kurzgesagt – In a Nutshell,2025-10-07 14:00:17+00:00,8567809,724455,35714,hd,734
We're Not Ready for Superintelligence,AI In Context,2025-07-09 16:03:16+00:00,8508911,344231,33478,hd,2051
"🇮🇹 Italy’s AI Athlete – Pure Style, Pure Power  #robot #humanoid #Future  #Olympics #aiart",VS SEVEN,2025-05-20 17:45:03+00:00,18498928,151855,958,hd,27
Apple's AI Crisis: Explained!,Marques Brownlee,2025-03-29 02:41:29+00:00,8109636,202405,14709,hd,1012
Apple Intelligence vs Galaxy Ai✨ #Shorts,lifegoodd,2024-11-06 16:31:00+00:00,7999377,0,2756,hd,19
Hyper-realistic Robot at CES 2025! #robot #ai #shorts,Voices of Nightmare,2025-01-19 00:45:01+00:00,14119348,198103,13473,hd,39
Ai Is Only Dangerous For Ai,Facts' Mine,2025-02-03 03:31:00+00:00,9734984,721500,981,hd,40
"The cow warreped in millions of zombies 😭 saved by farmers ,#ai #trending #farmer #humanity",Catfuntv,2025-03-22 13:04:38+00:00,8452616,93117,867,hd,23
"The cow covered in millions of octopus 😭 rescue team saved her , #ai #trending #rescue #cow",Catfuntv,2025-03-16 13:00:39+00:00,7781977,96347,292,hd,23
What if our Hands had Artificial Intelligence (AI)? + more videos | #aumsum #kids #children #whatif,AumSum's Science,2024-05-06 12:00:53+00:00,6679303,5906,0,hd,1839
Real life Vs AI. Part 11,Jiemba Sands,2025-07-31 13:45:00+00:00,12370553,295909,841,hd,17
Elon Musk on A.i | Sophia the humanoid Robot 🤖,Inspiring Codes,2023-04-30 20:07:12+00:00,6970615,0,4509,hd,19
How AI is Changing the World!,Dhruv Rathee Shorts,2023-07-22 12:33:53+00:00,6188894,409833,2364,hd,60
Silicon Valley Secrets: Inside the AI Robotics Lab – Ep.2 #AIrobot #SiliconValley,AI Robot Lab,2025-09-20 06:36:04+00:00,12034736,69990,1439,hd,20
FINALLY! India Begins 'COMPULSORY' AI Education in Schools! #shorts,FactTechz,2025-10-18 00:30:02+00:00,8551072,437735,3378,hd,59
CHAT GPT और Artificial Intelligence | कैसे GPT USE करें | ROBOTS V/S HUMANS | JOBS RISK | Alakh GK,Alakh GK,2023-06-21 16:22:23+00:00,4747144,139768,3163,hd,1789
Artificial Intelligence Out of Control: The Apocalypse is Here | How AI and ChatGPT End Humanity,The Why Files,2023-07-07 01:00:11+00:00,4700822,189600,19686,hd,2628
Squid Game AI Edible Slime ASMR #squidgame #squidgame2 #ai #asmr,A.I.C,2025-05-24 04:05:04+00:00,13101317,48193,305,hd,8
INDIA is Literally CRAZY in AI USAGE - World's BIGGEST AI Company CEO Says #shorts,FactTechz,2025-04-09 23:29:00+00:00,6713010,430693,3362,hd,55
How China Is Using Artificial Intelligence in Classrooms | WSJ,The Wall Street Journal,2019-10-01 17:20:56+00:00,4289580,82564,12746,hd,344
I Expanded Memes Using Artificial Intelligence...,KingSammelot,2023-11-18 16:00:22+00:00,4237409,69330,9228,hd,1283
Sam Altman Shows Me GPT 5... And What's Next,Cleo Abram,2025-08-08 00:09:36+00:00,4190019,92871,9063,hd,3907
"Ex-OpenAI Scientist WARNS: ""You Have No Idea What's Coming""",AI Upload,2025-07-16 21:51:04+00:00,4148571,51823,16786,hd,1094
"Godfather of AI WARNS: ""You Have No Idea What's Coming""",The Diary Of A CEO Clips,2025-09-27 18:00:03+00:00,4073415,60814,11599,hd,1257
The Future of Artificial Intelligence By Sandeep Maheshwari | Will ChatGPT Take Your Job?,Sandeep Maheshwari,2023-05-11 06:38:09+00:00,4061251,136338,6150,hd,915
"""Godfather of AI"" Geoffrey Hinton: The 60 Minutes Interview",60 Minutes,2023-10-09 12:03:13+00:00,3878052,52101,3935,hd,792
AI 2025 vs AI 2023,Meme Zee,2025-03-19 11:23:29+00:00,6662779,237323,3099,hd,8
Nobel Prize Winner Says ‘AI is The MOST DANGEROUS Invention Ever’ Sir Geoffrey Hinton #shorts,FactTechz,2025-07-13 00:30:20+00:00,5865843,373669,2179,hd,101
AI 2027: A Realistic Scenario of AI Takeover,Species | Documenting AGI,2025-05-28 20:53:33+00:00,3834848,114674,18198,hd,2265
THE REAL SPAGHETTI O’S ​@cookingwithkian,itsQCP,2024-02-06 20:09:34+00:00,272007073,6419768,18878,hd,44
1000 SAMOSA RECIPE BY MY GRANNY | STREET FOOD | INDIAN RECIPES | PERFECT SAMOSA | POTATO RECIPES,Veg Village Food,2020-06-19 12:30:05+00:00,149137658,935451,30939,hd,603
Hari mirche jyada daal di.🤣 #cooking #food #recipe #vlog #vlogging #dailyvlog #lifestyle #shorts,Loveneet Valecha,2025-07-29 07:51:35+00:00,277083247,1896030,2452,hd,23
Java Plum Jaam #Shorts,Side Dish Recipes,2024-06-04 12:30:13+00:00,146231267,3144888,3503,hd,59
Black Forest Cake #shorts,Great Indian Asmr,2023-12-20 12:14:05+00:00,139348543,5235613,10157,hd,59
Dhaba Style Egg Curry ASMR Cooking | #shorts #food #cooking #recipe #eggcurry #egg #nonveg #viral,Indian ASMR World,2023-04-25 07:30:05+00:00,114431962,3418128,4068,hd,52
Special Cheesy Bread Omlet Recipe 😍 | indian street food | street food india | egg recipes,Yummy Food,2021-05-16 20:30:42+00:00,111782894,0,7859,hd,60
Anda Tawa Fry ASMR Cooking || #food #cooking #shorts #indianasmrworld #nonveg #egg,Indian ASMR World,2023-12-12 07:27:00+00:00,93090333,3210440,3796,hd,53
This idea was a special by you guys! So here’s Noodles without Noodles 😉❤️,Cookd,2024-06-25 13:33:11+00:00,97124017,2702674,7292,hd,49
10 MILLION TINY FISHES | Ayira Meen | Rare River Fish Cleaning and Cooking In Village | Fish Recipes,Village Cooking Channel,2022-03-26 14:34:19+00:00,76409272,784052,11524,hd,534
Sheer Khurma Recipe | Special Eid Recipe | Sweet Dish | Cooking CH,Cooking CH,2024-04-08 02:49:15+00:00,74141865,2013487,5470,hd,58
Cooking A Whole Huge Ostrich! The Recipe Of The Dish That Everyone Was Waiting For,WILDERNESS COOKING,2023-10-01 13:00:33+00:00,68811595,484053,23873,hd,1512
Ye kyaa huaa 😩 #food #cookingrecipes #shorts #youtubeshorts,Secret of yum,2023-12-17 11:15:25+00:00,68952679,2269403,2311,hd,60
Pistachio with Pomegranate flaver recipe🥜🔥#fruits #cooking #recipes #shorts,Ashkan Sadeghi,2024-11-12 15:28:40+00:00,68823812,1475705,2241,hd,61
FULL CHICKEN BIRYANI | Whole Chicken Biryani Cooking & Eating in Village | Arabian Biryani Recipe,Village Cooking Channel,2024-09-24 14:00:12+00:00,59910020,604286,7851,hd,525
This BINGHULU recipe is surprisingly delightful!,Little Remy Food 🐭🍝,2024-08-24 20:17:57+00:00,66731938,2197367,4455,hd,20
Kitkat Shake🍫🥤 #recipe #cooking #streetfood #eveningsnacks #foodie #indianfood #food #shorts,Loveneet Valecha,2025-05-14 07:30:08+00:00,122654238,1077520,2355,hd,20
Is Minecraft food any good #cooking #food #foodasmr #recipe,Louis Gantus,2024-03-02 19:58:27+00:00,59157893,0,10323,hd,52
Unique Chikkar Chole Recipe😍 #shorts #chole #trending,Foodies Food Court,2025-03-21 06:15:02+00:00,74392599,1554399,2311,hd,43
Perfect Cake Slices Made Easy,5-Minute Crafts HOUSE,2025-08-03 12:45:11+00:00,113393655,739579,537,hd,19
Paneer Shawarma Burger Making🥵🔥|| Indian Street Food,bhukkad dilli ke,2024-12-05 06:30:10+00:00,58780648,1347777,2782,hd,45
Delicious Street Food Recipes - Satisfying Food Ideas #Shorts,Cooking Little,2022-04-15 13:03:51+00:00,50321955,1000759,2106,hd,34
How to cook salmon fish recipe #shortvideo #shorts #cooking #food #recipe,The Everyday Recipe,2024-11-25 16:27:24+00:00,50280390,1452828,11120,hd,59
Sirf 5 MIN mai 🤩 Itna Tasty 💜 Recipe #dinner #dinnerrecipe #lunch #lunchrecipe #dinnerideas #recipe,Chef Prateek's Kitchen,2024-09-04 12:35:34+00:00,50170445,1816984,5124,hd,59
Best Of Food Recipe 🤗 How To Make Delicious Miniature Cheetos Fried Chicken | By Tina Mini Cooking,Tina Mini Cooking,2024-01-06 13:00:15+00:00,44609921,684363,9252,hd,3950
Angara Chicken ASMR Cooking || #shorts #indianasmrworld #recipe #asmr #nonveg #chicken #streetfood,Indian ASMR World,2024-06-24 12:10:00+00:00,51749794,1877589,2245,hd,54
Street Style Ragda Pani Puri ASMR Cooking || #shorts #food #cooking #asmr #recipe #indianasmrworld,Indian ASMR World,2025-05-18 08:26:00+00:00,91421560,1161963,1064,hd,57
PRAWNS FRY | Crispy Shrimp Fry Recipe Cooking in Village | Tasty Fried Shrimp Seafood Recipe,Village Cooking Channel,2020-08-17 14:17:29+00:00,42249717,456338,8154,hd,605
Pistachio with Savory and sour flaver recipe 🍋🧂#fruits #cooking #recipes  #shorts,Ashkan Sadeghi,2025-03-04 13:15:23+00:00,58894409,754186,1306,hd,60
10 minutes Healthy dahi wala Sandwich #food #bharatzkitchen #recipe #cooking,Bharatzkitchen Shorts,2024-05-23 12:07:13+00:00,42223852,1545577,1950,hd,55
Momos pizza recipe!!! #food #recipe #youtubeshorts #shortvideo #shorts,Secret of yum,2024-04-10 12:20:10+00:00,41790273,1445339,1313,hd,59
Papad cone recipe !! #recipe #food #shorts #youtubeshorts,Secret of yum,2025-03-23 11:04:59+00:00,47159467,1321678,2418,hd,59
Gym ke liye late ho gaya.🥲 #cooking #food #recipe #vlog #lifestyle #explorepage #dailyvlog #shorts,Loveneet Valecha,2025-10-25 07:47:20+00:00,78133831,745467,1417,hd,31
Egg Paratha? #shorts#shortsviral #shortsvideo #recipe,RecipeSima,2025-06-27 13:10:50+00:00,75495701,1004992,848,hd,35
COLORFUL SWEET | Coconut Laddu Recipe Cooking in Village | Farm Fresh Coconut Nariyal Ladoo Recipe,Village Cooking Channel,2025-02-08 14:02:26+00:00,37331561,181220,3085,hd,641
Cheap vs expensive burrito #cooking #food #foodasmr #recipe,Louis Gantus,2024-02-27 20:00:25+00:00,38395471,0,6193,hd,57
Ayeein 😂😂ye kaise hua???? #food #cookingrecipes #recipe #youtubeshorts #shortvideo,Secret of yum,2023-12-05 10:51:19+00:00,38266664,1427982,1886,hd,59
The end of an era #cooking #food #foodasmr #recipe,Louis Gantus,2024-03-18 19:05:08+00:00,37636490,0,18559,hd,46
"14 Amazing Potato Recipes!! Collections ! French Fries , Potato Chip , Potato Snack, Potato Sticks",Cooking Lee's,2022-12-12 12:30:30+00:00,34965480,314636,4713,hd,3085
Korean style burger !! #food #recipe #shorts #youtubeshorts #short,Secret of yum,2025-05-30 11:52:15+00:00,54741925,1057816,1246,hd,59
MUTTON DRY FRY | Varattu Kari | Chettinad Fried Mutton Recipe | Traditional Cooking in Village,Village Cooking Channel,2019-05-18 14:32:01+00:00,34362471,319634,5340,hd,604
🍞💛 Rasmalai Bread Recipe | Instant Indian Dessert 🤯,The Flavor Queen,2025-09-02 12:24:01+00:00,74863185,915451,521,hd,17
Momos 🥟😍 #recipe #cooking  #indianfood #eveningsnacks #streetfood #youtubeshorts,Loveneet Valecha,2025-03-02 06:40:51+00:00,55225868,857130,1928,hd,29
Kadai paneer with garlic naan recipe!! #food #recipe #shorts #youtubeshorts #paneer,Secret of yum,2024-11-22 11:24:29+00:00,35651886,1061793,1453,hd,55
Hyderabadi Khagina | Celebrity Recipes | Food Prescription #shorts #youtubeshorts,Food Prescription,2025-02-10 15:30:18+00:00,44417159,806282,2663,hd,54
Mischen Sie einfach 3 Eier und Kartoffeln! Dieses Gericht wird jeden sofort beeindrucken!,Rezept hub,2025-03-05 14:19:26+00:00,30967363,280127,17167,hd,944
43 Easy 3-Ingredient Recipes,Tasty,2018-09-21 16:00:03+00:00,30760360,577082,15792,hd,1220
POTATO CHICKEN | Aloo Chicken | One Pan Chicken and Potatoes Recipe Cooking in Underground Baking,Village Cooking Channel,2024-12-09 14:01:19+00:00,30442897,293744,4057,hd,543
1000 MYSORE PAK | Traditional Mysore Pak Recipe Cooking in Village | Quick & Easy Sweet Recipe,Village Cooking Channel,2023-02-28 14:45:54+00:00,29868466,326215,7045,hd,494
Kurkure ki unique recipe!!! #food #shorts #shortvideo #youtubeshorts,Secret of yum,2025-02-18 11:00:24+00:00,35155718,792346,1306,hd,47
Sigma #bek_zufarr #workout #motivation #sigma #workoutmotivation,Зуфар Бек,2024-01-28 12:03:32+00:00,328933013,10879340,8347,hd,17
FAST Walking in 30 minutes | Fitness Videos,Walk at Home,2019-04-17 14:59:55+00:00,167318399,939090,26249,hd,1891
LOSE BELLY FAT IN 7 DAYS Challenge | Lose Belly Fat In 1 Week At Home | Cult Fit | CureFit,wearecult,2020-12-04 02:30:10+00:00,102394267,2154915,46035,hd,778
Exercise To Lose Weight FAST || Zumba Class,Zumba Class,2020-04-23 14:00:24+00:00,100753259,840567,14921,hd,1443
Easy Exercise To Lose Belly Fat At Home For Beginners - 35 Mins Aerobic Workout | EMMA Fitness,EMMA Fitness,2020-10-21 15:00:13+00:00,84806548,1046266,14778,hd,1943
Fat Burning Cardio Workout - 37 Minute Fitness Blender Cardio Workout at Home,FitnessBlender,2013-04-26 14:39:31+00:00,75500996,611008,1791,hd,2230
Wait for the end. Trust me 😂😂 #fitness #workout #gym #workoutshorts #trainingshorts #worthit,Sara Saffari,2023-04-30 06:20:56+00:00,74365528,1784015,15019,hd,17
1.0 Mile Happy Walk | Walk at Home | Walking Workout | over 100M Views,Walk at Home,2015-12-11 20:48:16+00:00,73868904,451815,8421,hd,931
8 Best Exercises To Shrink Stomach Fat Fast,Roberta's Gym,2018-11-06 09:57:52+00:00,66670003,771358,21057,hd,636
20 MIN FULL BODY WORKOUT - Beginner Version // No Equipment I Pamela Reif,Pamela Reif,2019-09-01 10:12:36+00:00,63714019,791843,21113,hd,1315
"30 minute fat burning home workout for beginners. Achievable, low impact results.",Body Project,2019-03-24 20:07:35+00:00,57132127,669655,28284,hd,1752
30-Minute HIIT Cardio Workout with Warm Up - No Equipment at Home | SELF,SELF,2018-05-21 16:01:33+00:00,56674475,749083,20035,hd,1731
My go to Full Body Workout. No equipment. Anywhere,Senada Greca,2024-02-16 22:08:36+00:00,61911160,1476240,19737,hd,33
Full Body Warm-Up Routine for an Energizing Workout! #anatoly #workout #funny #fitness  #gym #prank,HealthPlus Tips,2023-07-22 18:04:22+00:00,70925521,915432,2449,hd,28
20 Minute Walk at Home Exercise | Fitness Videos,Walk at Home,2018-03-28 13:54:58+00:00,54725592,264039,5780,sd,1281
14 Days Weight Loss Challenge - Home Workout Routine,Roberta's Gym,2018-11-05 08:23:53+00:00,48667601,616714,30413,hd,1341
15 MIN HAPPY DANCE WORKOUT - burn calories and smile / No Equipment I Pamela Reif,Pamela Reif,2020-05-20 05:30:00+00:00,47753941,480302,7776,hd,866
The Fastest Weight Loss Exercise - Fat Burning by Aerobic Workout (Once a Day) | Eva Fitness,Eva Fitness,2020-05-19 13:00:12+00:00,47487031,485722,10346,hd,1824
28 Minute Full Body Workout To Get In Shape - Do This Workout Every Evening | EMMA Fitness,EMMA Fitness,2021-07-28 15:00:12+00:00,45024085,437519,3778,hd,1548
"Lose 20kg successfully! Anyone can do , let's succeed in dieting with Chinese exercise! #shorts",Wanyo mori,2024-10-02 06:31:21+00:00,59857636,1397949,5121,hd,60
